date,product,sales,quantity,region
2026-01-01,A,557,11,South
2026-01-02,A,980,1,North
2026-01-03,B,468,15,North
2026-01-04,A,799,38,West
2026-01-05,B,629,34,East
2026-01-06,A,557,48,East
2026-01-07,A,124,18,South
2026-01-08,C,892,19,South
2026-01-09,C,900,33,East
2026-01-10,C,545,10,North
2026-01-11,C,225,26,South
2026-01-12,B,815,11,South
2026-01-13,C,839,8,East
2026-01-14,C,601,30,North
2026-01-15,C,805,34,East
2026-01-16,A,842,32,North
2026-01-17,A,452,44,North
2026-01-18,B,311,20,South
2026-01-19,C,519,45,South
2026-01-20,A,233,49,West
2026-01-21,B,569,5,East
2026-01-22,A,404,13,East
2026-01-23,B,692,18,East
2026-01-24,B,646,44,East
2026-01-25,B,603,3,East
2026-01-26,A,919,32,North
2026-01-27,A,186,34,West
2026-01-28,B,614,43,North
2026-01-29,B,170,46,West
2026-01-30,B,689,43,South
2026-01-31,A,380,29,North
2026-02-01,A,382,10,West
2026-02-02,C,676,49,West
2026-02-03,B,679,32,North
2026-02-04,A,918,12,North
2026-02-05,B,641,42,South
2026-02-06,C,261,31,North
2026-02-07,C,772,23,East
2026-02-08,C,849,3,North
2026-02-09,B,600,15,South
2026-02-10,A,870,19,North
2026-02-11,C,911,43,South
2026-02-12,A,786,42,South
2026-02-13,C,914,13,West
2026-02-14,C,673,49,East
2026-02-15,A,166,20,West
2026-02-16,B,360,4,West
2026-02-17,B,289,40,East
2026-02-18,C,422,22,East
2026-02-19,B,156,18,West
2026-02-20,B,517,37,North
2026-02-21,B,213,35,South
2026-02-22,B,445,31,South
2026-02-23,B,688,10,South
2026-02-24,C,276,22,South
2026-02-25,C,825,20,South
2026-02-26,B,526,5,West
2026-02-27,A,459,21,East
2026-02-28,A,632,12,West
2026-03-01,C,233,32,South
2026-03-02,B,832,1,East
2026-03-03,C,894,8,North
2026-03-04,B,376,6,South
2026-03-05,C,943,34,North
2026-03-06,C,950,22,North
2026-03-07,A,677,48,South
2026-03-08,A,790,46,North
2026-03-09,A,194,1,West
2026-03-10,C,397,31,East
2026-03-11,C,797,45,East
2026-03-12,C,144,2,West
2026-03-13,A,516,29,South
2026-03-14,C,483,30,East
2026-03-15,A,869,20,South
2026-03-16,C,917,34,North
2026-03-17,B,171,12,North
2026-03-18,C,666,49,East
2026-03-19,A,805,37,South
2026-03-20,B,445,28,West
2026-03-21,C,768,40,East
2026-03-22,B,691,41,West
2026-03-23,A,698,5,East
2026-03-24,C,643,31,West
2026-03-25,A,210,23,East
2026-03-26,A,481,41,North
2026-03-27,C,747,20,South
2026-03-28,B,897,30,West
2026-03-29,B,105,6,West
2026-03-30,A,107,30,West
2026-03-31,C,787,26,West
2026-04-01,C,774,1,North
2026-04-02,A,777,28,North
2026-04-03,A,114,5,North
2026-04-04,C,307,5,West
2026-04-05,B,340,31,East
2026-04-06,B,250,34,South
2026-04-07,C,647,45,West
2026-04-08,A,410,39,West
2026-04-09,B,674,47,West
2026-04-10,B,124,36,West
