date,product,sales,quantity,region
2026-01-01,B,234,38,West
2026-01-02,A,575,30,East
2026-01-03,A,836,40,East
2026-01-04,B,868,38,South
2026-01-05,A,784,34,North
2026-01-06,B,914,48,South
2026-01-07,C,634,22,South
2026-01-08,C,707,48,West
2026-01-09,B,160,21,West
2026-01-10,A,341,15,South
2026-01-11,C,495,44,South
2026-01-12,B,972,39,South
2026-01-13,A,791,23,North
2026-01-14,A,203,4,East
2026-01-15,B,104,29,South
2026-01-16,C,155,29,West
2026-01-17,A,829,37,South
2026-01-18,B,100,26,South
2026-01-19,C,742,13,East
2026-01-20,A,421,14,West
