date,product,sales,quantity,region
2026-01-01,A,850,45,South
2026-01-02,A,125,36,East
2026-01-03,C,711,4,South
2026-01-04,B,144,38,South
2026-01-05,B,994,48,West
2026-01-06,A,378,19,North
2026-01-07,A,970,31,South
2026-01-08,C,597,34,North
2026-01-09,A,850,15,East
2026-01-10,B,935,10,North
2026-01-11,B,200,34,West
2026-01-12,C,248,29,East
2026-01-13,C,713,41,East
2026-01-14,B,832,27,West
2026-01-15,A,418,15,North
2026-01-16,B,116,40,East
2026-01-17,B,303,6,South
2026-01-18,B,861,40,North
2026-01-19,C,302,18,South
2026-01-20,B,276,16,East
2026-01-21,A,826,5,South
2026-01-22,B,483,20,South
2026-01-23,A,160,38,North
2026-01-24,A,187,36,West
2026-01-25,A,509,38,South
2026-01-26,A,122,26,East
2026-01-27,B,348,25,East
2026-01-28,B,997,21,West
2026-01-29,B,330,12,West
2026-01-30,A,656,42,East
2026-01-31,B,296,19,East
2026-02-01,A,733,12,North
2026-02-02,B,356,49,West
2026-02-03,A,243,39,South
2026-02-04,B,794,7,North
2026-02-05,B,903,39,East
2026-02-06,B,192,4,South
2026-02-07,C,107,4,North
2026-02-08,A,424,10,South
2026-02-09,B,947,31,North
2026-02-10,C,979,17,North
2026-02-11,B,119,5,East
2026-02-12,B,712,41,North
2026-02-13,C,658,14,North
2026-02-14,A,627,28,East
2026-02-15,B,287,43,North
2026-02-16,B,575,17,North
2026-02-17,A,814,22,East
2026-02-18,A,572,25,North
2026-02-19,A,308,1,North
2026-02-20,A,252,35,North
2026-02-21,A,505,9,East
2026-02-22,B,474,33,North
2026-02-23,C,449,6,South
2026-02-24,B,662,1,West
2026-02-25,A,825,46,South
2026-02-26,B,336,23,South
2026-02-27,C,531,23,South
2026-02-28,A,830,7,East
2026-03-01,A,337,3,North
2026-03-02,B,210,1,East
2026-03-03,B,675,17,South
2026-03-04,C,971,20,North
2026-03-05,C,714,35,East
2026-03-06,B,936,24,East
2026-03-07,A,956,23,North
2026-03-08,B,233,38,North
2026-03-09,A,984,20,North
2026-03-10,C,530,11,South
2026-03-11,B,119,30,North
2026-03-12,B,150,15,West
2026-03-13,C,392,14,South
2026-03-14,B,599,11,East
2026-03-15,C,426,18,North
2026-03-16,B,604,48,East
2026-03-17,B,180,18,East
2026-03-18,A,894,32,East
2026-03-19,C,524,44,West
2026-03-20,A,564,35,West
2026-03-21,A,527,31,West
2026-03-22,B,264,26,East
2026-03-23,C,177,3,West
2026-03-24,C,770,34,West
2026-03-25,C,573,27,East
2026-03-26,C,961,11,East
2026-03-27,B,132,2,West
2026-03-28,C,353,27,East
2026-03-29,A,669,8,East
2026-03-30,A,128,6,North
2026-03-31,A,300,31,West
2026-04-01,A,723,11,South
2026-04-02,A,821,47,North
2026-04-03,B,253,44,West
2026-04-04,B,549,30,West
2026-04-05,B,634,49,West
2026-04-06,A,282,35,South
2026-04-07,B,487,49,West
2026-04-08,A,259,19,North
2026-04-09,B,621,7,West
2026-04-10,A,300,44,South
